feature,importance
Overall Qual,0.5359382497419393
Gr Liv Area,0.14688002443527334
Total Bsmt SF,0.059039157891237044
Year Built,0.0521200500319217
1st Flr SF,0.04322862727200213
Kitchen Qual,0.03450867157050238
Garage Area,0.027174205751569994
Fireplaces,0.021493504127868778
Garage Cars,0.021098429717461138
Full Bath,0.019718143551038174
Bsmt Full Bath,0.012624223608170981
Overall Cond,0.010616859848249045
Neighborhood_frequency,0.008522141060650449
Sale Condition_frequency,0.004872125644734387
TotRms AbvGrd,0.0021655857473811733
