feature,OLS,Ridge
Overall Qual,23099.93373702259,22680.85598599832
Gr Liv Area,16967.67515854856,16265.739573579083
Kitchen Qual,12271.195230629373,12381.927998481755
Total Bsmt SF,1552.968610124406,1697.3720014312123
Garage Cars,11410.785353600995,11040.032993022385
1st Flr SF,11110.459069109947,11110.90054526493
Garage Area,-4701.7755521426925,-4219.0830966518615
Year Built,9750.648289620556,9633.335725367991
Full Bath,-1630.4912944674952,-1134.7940513751728
TotRms AbvGrd,3867.606740551608,4235.362236399581
Fireplaces,6151.020793870675,6281.769351895488
Bsmt Full Bath,7586.428980301058,7554.844001192372
Neighborhood_frequency,-2893.2894325337343,-2934.5560749147107
Sale Condition_frequency,-700.9611511560767,-707.2079009371159
Overall Cond,5581.42762335333,5411.944448626907
