Model,RMSE,MAE,R2,Type
E: Deep+Dropout0.3,20933.988089068207,14475.537715976963,0.9456249376794049,NN
B: Medium [128-64],21777.24333934386,14745.864727762375,0.9411560754180935,NN
C: Deep [256-128-64],21977.146298483305,15013.774117427474,0.9400708082240322,NN
A: Shallow [64],22523.706958505114,15181.431593963307,0.9370529243141587,NN
F: Deep+L2,22602.44261586924,15179.031289995733,0.9366120695295186,NN
D: Deep+Sigmoid,25727.511327684013,15893.607808500426,0.917871975127734,NN
OLS,28264.516788207373,17916.802367795564,0.9008759695272209,Linear
Ridge,28284.5451603357,17921.052550317003,0.9007354402283755,Linear
Lasso,28388.692670763085,17910.02352343692,0.9000030833911682,Linear
ElasticNet,28388.692670763085,17910.02352343692,0.9000030833911682,Linear
